No,カテゴリ,分野名_JP,分野名_EN,主要キーワード,Google Scholar クエリ,標準教科書例,重要式・概念
17,バイオ・薬学,バイオプロセス,Bioprocess Engineering,"Monod kinetics, chemostat, fed-batch, fermentation","(""bioprocess"" OR ""fermentation"") AND (""Monod"" OR ""chemostat"" OR ""kinetic model"")","Shuler Bioprocess Engineering 3rd; Bailey Biochemical Engineering Fundamentals","Monod, μ_max, K_S, chemostat 定常解"
18,バイオ・薬学,薬学,Pharmaceutical Engineering,"dissolution, pharmacokinetics, Noyes-Whitney","(""pharmaceutical"") AND (""dissolution model"" OR ""pharmacokinetics"") AND (""ODE"")","Aulton Pharmaceutics 5th; Shargel Applied Biopharmaceutics","Noyes-Whitney、コンパートメントモデル、薬物動態"
19,バイオ・薬学,食品工学,Food Process Engineering,"thermal processing, drying, freezing, food rheology","(""food engineering"") AND (""drying"" OR ""freezing"" OR ""thermal process"") AND (""mathematical model"")","Singh Heldman Introduction to Food Engineering 5th","食品加熱処理、乾燥、凍結、レオロジー"
20,材料・高分子,高分子工学,Polymer Engineering,"polymerization kinetics, MWD, viscosity","(""polymer"") AND (""polymerization kinetics"" OR ""molecular weight distribution"") AND (""kinetic model"")","Odian Principles of Polymerization 4th","重合速度、分子量分布、粘度モデル"
21,材料・高分子,半導体物理,Semiconductor Physics,"drift-diffusion, Shockley equation, MOSFET","(""semiconductor device"") AND (""drift-diffusion"" OR ""Shockley equation"") AND (""ODE"")","Sze Physics of Semiconductor Devices 3rd","Drift-diffusion, Shockley, MOSFET モデル"
22,エネルギー・環境,燃焼工学,Combustion Engineering,"flame propagation, kinetic mechanism, NOx","(""combustion"") AND (""flame propagation"" OR ""kinetic mechanism"") AND (""premixed"" OR ""diffusion flame"")","Turns Introduction to Combustion 3rd; Glassman Combustion 5th","Arrhenius, flame speed, NOx 形成、化学量論"
23,エネルギー・環境,原子力工学,Nuclear Engineering,"neutron diffusion, point kinetics, decay heat","(""nuclear reactor"") AND (""neutron diffusion"" OR ""point kinetics"") AND (""differential equation"")","Duderstadt Hamilton Nuclear Reactor Analysis","中性子拡散、point kinetics、崩壊熱"
24,エネルギー・環境,HVAC,Heating Ventilation and Air Conditioning,"psychrometrics, humidity ratio, cooling load","(""HVAC"" OR ""psychrometrics"") AND (""cooling load"" OR ""humidity ratio"") AND (""mathematical model"")","ASHRAE Handbook Fundamentals","湿度比 W、空気線図、冷房負荷"
25,エネルギー・環境,環境工学,Environmental Engineering,"pollutant transport, advection-diffusion, water treatment","(""environmental engineering"") AND (""pollutant transport"" OR ""advection-diffusion"" OR ""water treatment"") AND (""ODE"" OR ""PDE"")","Davis Cornwell Introduction to Environmental Engineering","汚染物質輸送、移流拡散、水処理"
26,物理・機械工学,光学,Optics,"refraction, lens equation, wave optics","(""optics"") AND (""refraction"" OR ""lens equation"" OR ""diffraction"") AND (""Maxwell"" OR ""wave equation"")","Hecht Optics 5th","Snell の法則、Lensmaker, Maxwell 方程式"
27,物理・機械工学,音響学,Acoustics,"wave equation, resonance, impedance","(""acoustics"") AND (""wave equation"" OR ""resonance frequency"" OR ""impedance"")","Kinsler Fundamentals of Acoustics 4th","波動方程式、共振、Helmholtz 共鳴"
28,物理・機械工学,空力,Aerodynamics,"lift, drag, boundary layer, airfoil","(""aerodynamics"") AND (""lift"" OR ""drag"" OR ""boundary layer"") AND (""airfoil"" OR ""flow equation"")","Anderson Fundamentals of Aerodynamics 6th","Lift coefficient, drag coefficient, boundary layer"
29,物理・機械工学,振動学,Vibrations,"single-DoF, multi-DoF, modal analysis","(""vibration"") AND (""single degree of freedom"" OR ""modal analysis"") AND (""differential equation"")","Rao Mechanical Vibrations 6th","mx'' + cx' + kx = F、固有値解析"
30,物理・機械工学,構造力学,Structural Mechanics,"beam bending, stress strain, finite element","(""structural mechanics"") AND (""beam bending"" OR ""stress-strain"") AND (""ODE"" OR ""PDE"")","Hibbeler Mechanics of Materials 10th","梁の曲げ、応力歪み、はり方程式"
31,物理・機械工学,電気工学,Electrical Engineering,"RLC circuit, Kirchhoff laws, Maxwell","(""electrical engineering"" OR ""circuit analysis"") AND (""RLC"" OR ""Kirchhoff"" OR ""Maxwell"") AND (""differential equation"")","Sadiku Fundamentals of Electric Circuits 7th","RLC, Kirchhoff, Maxwell 方程式"
32,物理・機械工学,地盤工学,Geotechnical Engineering,"consolidation, slope stability, earth pressure","(""geotechnical engineering"") AND (""consolidation"" OR ""slope stability"" OR ""earth pressure"") AND (""mathematical model"")","Das Principles of Geotechnical Engineering 9th","Terzaghi 圧密、Rankine 土圧、Ordinary Method of Slices"
